nome,famiglia,quartiere,nobile,cerchio
Albizzo de Lanfranchi,Lanfranchi,ponte,Sì,C0
Bartolomeo degli Orlandi,Orlandi,ponte,Sì,C0
Duccio da Castagneto,Castagneto,medio,Sì,C0
Filippo Sciarre,Sciarre,ponte,Sì,C0
Francesco Zacci,Zacci,foriporta,Sì,C0
Giovanni Rossi de Lanfranchi,Lanfranchi,ponte,Sì,C0
Gualando de Castagneto,Castagneto,medio,Sì,C0
Gualterotto de Lanfranchi,Lanfranchi,ponte,Sì,C0
Guelfo Gualterotti de Lanfranchi,Lanfranchi,ponte,Sì,C0
Guido da Caprona,Caprona,medio,Sì,C0
Iacopo Bulla de Gualandi,Gualandi,kinzica,Sì,C0
Iacopo Buzcarrino,Buzcarrino,medio,Sì,C0
Manfredi Buzzcarrino de Sismondi,Sismondi,medio,Sì,C0
Nicola (Niccolò) da Montescudaio,Montescudaio,foriporta,Sì,C0
Nicola di Nicchio,Nicchio,medio,Sì,C0
Opizzo de Gualandi,Gualandi,kinzica,Sì,C0
Pellaio de Lanfranchi,Lanfranchi,ponte,Sì,C0
Piero conte de Montescudaio,Montescudaio,foriporta,Sì,C0
Pietro Gualandi,Gualandi,kinzica,Sì,C0
Ranieri Bonifazi de Gualandi,Gualandi,kinzica,Sì,C0
Ranieri Bulla de Gualandi,Gualandi,kinzica,Sì,C0
Ranieri di Ripafratta,Ripafratta,ponte,Sì,C0
Nicola Lanfreducci,Lanfreducci,ponte,Sì,C1
Andrea di Ser Ciano Scorcialupi,Scorcialupi,ponte,No,C2
Bacciameo Rustici,Rustici,ponte,No,C2
Bartalo Cinquina,Cinquina,kinzica,No,C2
Bartolomeo Zoppo,Zoppo,ponte,No,C2
Benedetto Falcone,Falcone,ponte,No,C2
Benegrande del Rosso,del Rosso,medio,No,C2
Benvenuto di Vanni,nan,ponte,No,C2
Bonaccorso de Barba,de Barba,ponte,No,C2
Bonagiunta da Cascina,da Cascina,foriporta,No,C2
Bonagiunta del Sordo,Del Sordo,foriporta,No,C2
Cola Galletti,Galletti,ponte,No,C2
Cola Grasso,Grasso,medio,No,C2
Colto di Cione,nan,medio,No,C2
Enrico Malacalsa,Malacalsa,foriporta,No,C2
Enrico da Campo,da Campo,foriporta,No,C2
Gerardo Astai,Astaio,ponte,No,C2
Gerardo di Ser Andrea Gambacorta,Gambacorta,kinzica,No,C2
Giovanni di Ciano,Scorcialupi (?),ponte,No,C2
Giovanni di Ser Stefano,nan,kinzica,No,C2
Guido Sardo,Sardo,kinzica,No,C2
Iacopo Murcio,Murcio,kinzica,No,C2
Lippo Alliata,Alliata,foriporta,No,C2
Lorenzo Bindacci,Bindacci,kinzica,No,C2
Lupo di Orlando,nan,ponte,No,C2
Manfredi de Seta,de Seta,medio,No,C2
Nerio Guercio,Guercio,foriporta,No,C2
Nerio Sciancato,Sciancato,foriporta,No,C2
Nerio da San Pietro,da San Pietro,kinzica,No,C2
Neruccio Lambardino,nan,medio,No,C2
Neruccio Malpiglio,Malpiglio,foriporta,No,C2
Nicola Pannochia,Pannochia,kinzica,No,C2
Nicola di Salmulo,nan,foriporta,No,C2
Oddo Zoppo,Zoppo,ponte,No,C2
Opizzo Falcone,Falconi,ponte,No,C2
Pellaio Griffi,Griffi,foriporta,No,C2
Perfetto Fracasso,Fracasso,kinzica,No,C2
Piero Murcio,nan,kinzica,No,C2
Piero Papa,Papa,ponte,No,C2
Piero da Lari,da Lari,foriporta,No,C2
Piero del Lante,del Lante,medio,No,C2
Piero di Leccia,nan,foriporta,No,C2
Ranieri Sampante,Sampante,medio,No,C2
Ranieri Sardo,Sardo,kinzica,No,C2
Ser Andrea Gambacorta,Gambacorta,kinzica,No,C2
Ser Benedetto Gambacorta,Gambacorta,kinzica,No,C2
Ser Bonaccorso Bonconti,Bonconti,foriporta,No,C2
Ser Gaddo da San Casciano,da San Casciano,medio,No,C2
Ser Gerardo di Bartolomeo Gambacorta,Gambacorta,kinzica,No,C2
Ser Giovanni Manninghi,Manninghi,kinzica,No,C2
Ser Giovanni di Benigno,nan,medio,No,C2
Ser Giovanni di Bonaccorso da Vecchiano,nan,ponte,No,C2
Ser Giovanni di Tommaso Grassolini,Grassolini,foriporta,No,C2
Ser Guido Macigna,Macigna,ponte,No,C2
Ser Ludovico di Stefano,di Stefano,kinzica,No,C2
Ser Piero Bandini,nan,foriporta,No,C2
Ser Piero Gambacorta,Gambacorta,kinzica,No,C2
Ser Piero Sampante,Sampante,medio,No,C2
Tommaso Grassolini,Grassolini,foriporta,No,C2
Tommaso di Lapo,nan,medio,No,C2
//,nan,,No,C3
Abraam di Raniero Grasso,Grasso,medio,No,C3
Agostino di Bandino,nan,ponte,No,C3
Agostino di Nerio,nan,ponte,No,C3
Agostino di Puccetto,nan,medio,No,C3
Agostino di Ser Nerio,nan,ponte,No,C3
Alamanno del fu Cione da Lari,da Lari,kinzica,No,C3
Alberto di Benedetto,nan,kinzica,No,C3
Alessio di Ser Meo,nan,kinzica,No,C3
Alo di Masino,nan,foriporta,No,C3
Andrea,nan,medio,No,C3
Andrea Bonaffaris,nan,kinzica,No,C3
Andrea Faloppi,nan,kinzica,No,C3
Andrea Fazelli,nan,ponte,No,C3
Andrea Mondelli,nan,kinzica,No,C3
Andrea Musso,nan,medio,No,C3
Andrea Pacchi,nan,ponte,No,C3
Andrea Papa,Papa,ponte,No,C3
Andrea Ragonensis,nan,medio,No,C3
Andrea da Campo,da Campo,ponte,No,C3
Andrea da Ripoli,nan,foriporta,No,C3
Andrea del fu Lupo da Ripuli,nan,,No,C3
Andrea del fu Nocchio,nan,medio,No,C3
Andrea del fu Ser Dino d'Appiano,nan,,No,C3
Andrea di Bacciameo da Cascina,da Cascina,kinzica,No,C3
Andrea di Bacciameo del Tempieri,nan,kinzica,No,C3
Andrea di Baldo,nan,medio,No,C3
Andrea di Barsalo,nan,medio,No,C3
Andrea di Bartalo Murcio,Murcio,kinzica,No,C3
Andrea di Bate,nan,ponte,No,C3
Andrea di Enrico,nan,medio,No,C3
Andrea di Francesco,nan,foriporta,No,C3
Andrea di Giovanni,nan,medio,No,C3
Andrea di Giovanni Baruccio,nan,foriporta,No,C3
Andrea di Leonero,nan,foriporta,No,C3
Andrea di Lippo,nan,ponte,No,C3
Andrea di Manfredi,nan,medio,No,C3
Andrea di Michele,nan,ponte,No,C3
Andrea di Michele da Campo,da Campo,ponte,No,C3
Andrea di Nardo,nan,kinzica,No,C3
Andrea di Narduccio,nan,foriporta,No,C3
Andrea di Piero,nan,medio,No,C3
Andrea di Piero Sampante,Sampante,medio,No,C3
Andrea di Pietro Gambacorta,Gambacorta,kinzica,No,C3
Andrea di Ser Cecco Alliata,Alliata,foriporta,No,C3
Andrea di Ser Lemmo,nan,ponte,No,C3
Andrea di Ser Mone,nan,ponte,No,C3
Andrea di Tommaso,nan,foriporta,No,C3
Andrea di Vanni Faloppi,nan,kinzica,No,C3
Andrea di ser Nocchio,nan,medio,No,C3
Andrea di Pietro Gambacorta,Gambacorta,kinzica,No,C3
Andreas Francisci Mactugii,nan,foriporta,No,C3
Andreotto di Cola Galletti,Galletti,medio,No,C3
Angelo di Ceo,nan,foriporta,No,C3
Angelo di Giacomelli,nan,kinzica,No,C3
Angelo figlio di Simone da Montefoscoli,nan,,No,C3
Antone Compagni,nan,ponte,No,C3
Antonio Ciati,nan,kinzica,No,C3
Antonio Grassolini,Grassolini,foriporta,No,C3
Antonio da San Pietro,da San Pietro,kinzica,No,C3
Antonio di Barone detto Piombino,nan,medio,No,C3
Antonio di Bernardo,nan,ponte,No,C3
Antonio di Cecco Angelelli,nan,foriporta,No,C3
Antonio di Corso,nan,medio,No,C3
Antonio di Dino,nan,kinzica,No,C3
Antonio di Francesco,nan,medio,No,C3
Antonio di Francesco Facche,nan,foriporta,No,C3
Antonio di Francesco di Puccino,nan,foriporta,No,C3
Antonio di Giovanni Cepti,nan,foriporta,No,C3
Antonio di Giovanni di Nicolino,nan,kinzica,No,C3
Antonio di Giovanni di Puccio di Manno,nan,foriporta,No,C3
Antonio di Giovanni di Stefano,di Stefano,kinzica,No,C3
Antonio di Iacopino,nan,medio,No,C3
Antonio di Lorenzo,nan,ponte,No,C3
Antonio di Mainetto di Parigi,nan,kinzica,No,C3
Antonio di Mannoccio,nan,kinzica,No,C3
Antonio di Michele Davini,nan,ponte,No,C3
Antonio di Nerio di Pietro,nan,medio,No,C3
Antonio di Neruccio di Lambardino,nan,medio,No,C3
Antonio di Oddo Zoppo,Zoppo,ponte,No,C3
Antonio di Ser Cola Grasso,Grasso,medio,No,C3
Antonio di Ser Domenico,nan,ponte,No,C3
Antonio di Ser Giovanni,nan,foriporta,No,C3
Antonio di Ser Meo,nan,foriporta,No,C3
Antonio di Simone,nan,ponte,No,C3
Antonius Puccini Lensulini.,nan,kinzica,No,C3
Assopardo Primerano,nan,medio,No,C3
Augustino,nan,ponte,No,C3
Bacciameo Bindacci,Bindacci,kinzica,No,C3
Bacciameo Morelli,nan,kinzica,No,C3
Bacciameo del Rosso,del Rosso,medio,No,C3
Bacciameo del fu Casini,nan,foriporta,No,C3
Bacciameo di Bonicio,nan,ponte,No,C3
Bacciameo di Chiasso,nan,ponte,No,C3
Bacciameo di Frediano da Mezzana,nan,,No,C3
Bacciameo di Lorenzo Bindacci,nan,kinzica,No,C3
Bacciameo di Nuto,nan,kinzica,No,C3
Bacciameo di Puccio,nan,foriporta,No,C3
Bacciameo di Urso,nan,medio,No,C3
Baccio da Borgo San Marco,nan,kinzica,No,C3
Bacciomeo di Giovanni Lamberti,nan,medio,No,C3
Baldino,nan,foriporta,No,C3
Balduccio di Lotto di Ubaldo,nan,foriporta,No,C3
Banco di Ser Puccio Sere,nan,kinzica,No,C3
Bandino Porcario,nan,kinzica,No,C3
Bandino di Giunta,nan,medio,No,C3
Bandino di Lemmo,nan,foriporta,No,C3
Bandino di Vanni,nan,medio,No,C3
Banduccio Bonconti,Bonconti,foriporta,No,C3
Banduccio d'Ursello,nan,kinzica,No,C3
Banduccio di Tuccio Scaficcio,nan,medio,No,C3
Barone,nan,medio,No,C3
Barone di Lapo,nan,medio,No,C3
Bartalino di Francesco di Paolo,nan,kinzica,No,C3
Bartalo da Arsiccio,nan,kinzica,No,C3
Bartalo da San Pietro,da San Pietro,kinzica,No,C3
Bartalo di Balduccio da San Casciano,da San Casciano,kinzica,No,C3
Bartalo di Michele,nan,foriporta,No,C3
Bartalo di Nocchio,nan,ponte,No,C3
Bartalo di Ser Ciolo Murcio,Murcio,kinzica,No,C3
Bartalo di Vanni,nan,ponte,No,C3
Bartalotto di Ser Puccio,nan,ponte,No,C3
Bartholomeus de Sancto Cassiano not. et s. p.,da San Casciano,,No,C3
Bartino di Francesco,nan,medio,No,C3
Bartolo del fu Giovanni,nan,ponte,No,C3
Bartolo di Giovanni,nan,ponte,No,C3
Bartolo di Ser Ciolo Murcio,Murcio,kinzica,No,C3
Bartolomeo,nan,foriporta,No,C3
Bartolomeo Bindacci,Bindacci,kinzica,No,C3
Bartolomeo Bindocci,nan,foriporta,No,C3
Bartolomeo Femminella,nan,kinzica,No,C3
Bartolomeo Gambacorta,Gambacorta,kinzica,No,C3
Bartolomeo Garbesis,nan,foriporta,No,C3
Bartolomeo Grassolini,Grassolini,foriporta,No,C3
Bartolomeo Miniati,nan,foriporta,No,C3
Bartolomeo Pucciarelli,nan,ponte,No,C3
Bartolomeo Secondo Morello,nan,kinzica,No,C3
Bartolomeo da Calci,nan,foriporta,No,C3
Bartolomeo da Campo,da Campo,foriporta,No,C3
Bartolomeo da San Concordio,nan,,No,C3
Bartolomeo del fu Guidone Rustichelli da Vico,nan,,No,C3
Bartolomeo del fu Nino Malpiglio,Malpiglio,foriporta,No,C3
Bartolomeo del fu Pietro da Calci,nan,,No,C3
Bartolomeo del fu Ser Paolo da Crespina,nan,,No,C3
Bartolomeo di Amatuccio,nan,foriporta,No,C3
Bartolomeo di Bindo Alliata,Alliata,foriporta,No,C3
Bartolomeo di Bonaccorso Bonconti,Bonconti,foriporta,No,C3
Bartolomeo di Bonaccorso Gambacorta,Gambacorta,kinzica,No,C3
Bartolomeo di Cola,nan,foriporta,No,C3
Bartolomeo di Falduccio,nan,ponte,No,C3
Bartolomeo di Francesco,nan,ponte,No,C3
Bartolomeo di Gaetano da Campo,da Campo,foriporta,No,C3
Bartolomeo di Giovanni,nan,ponte,No,C3
Bartolomeo di Giovanni Catelli,nan,foriporta,No,C3
Bartolomeo di Martuccio,nan,foriporta,No,C3
Bartolomeo di Melo,nan,foriporta,No,C3
Bartolomeo di Piero,nan,kinzica,No,C3
Bartolomeo di Pietro da Pontedera,nan,,No,C3
Bartolomeo di Pucciarello,nan,kinzica,No,C3
Bartolomeo di Puccio di Guercio,nan,medio,No,C3
Bartolomeo di Puccio di Melo,nan,foriporta,No,C3
Bartolomeo di Puciarello Falduccio,nan,ponte,No,C3
Bartolomeo di Ser Baccio de Burgo San Marco Kinthice,nan,kinzica,No,C3
Bartolomeo di Ser Cola Falcone,Falcone,kinzica,No,C3
Bartolomeo di Ser Cola Scarso,nan,ponte,No,C3
Bartolomeo di Ser Lando,nan,foriporta,No,C3
Bartolomeo di Ser Lotto del fu Enrico,nan,foriporta,No,C3
Bartolomeo di Ser Nocchio,nan,medio,No,C3
Bartolomeo di Tingo,nan,foriporta,No,C3
Bartolomeo di Tommaso,nan,kinzica,No,C3
Bartolomeo di Vanelli,nan,ponte,No,C3
Bartolomeo di Vanni di Enrico,nan,foriporta,No,C3
Bencivenna,nan,foriporta,No,C3
Beneato di Cecco Cinquina,Cinquina,kinzica,No,C3
Benedetto del fu Cione Grasso,Grasso,medio,No,C3
Benedetto di Bonincontro da Ripa d'Arno,nan,,No,C3
Benedetto di Fino,nan,ponte,No,C3
Benedetto di Palmieri,nan,ponte,No,C3
Benedetto di Vanni Falconi,Falconi,ponte,No,C3
Benedetto di Vitale,nan,ponte,No,C3
Benedictus Iacobi Benedicti not. et s.,nan,,No,C3
Benegrande di Rosso Balducci,nan,medio,No,C3
Benencasa di Coscio di Pino,nan,foriporta,No,C3
Benevienne di Puccio Pancaldi,nan,foriporta,No,C3
Benincasa di Coscio di Pino,nan,foriporta,No,C3
Benincasa di Meo Casone da Montemagno,nan,,No,C3
Benincasa di Meo di Casone,nan,ponte,No,C3
Benvenuto di Mone,nan,ponte,No,C3
Benvenuto di More,nan,ponte,No,C3
Bergo di Gante,nan,medio,No,C3
Bernardo Chelli,nan,foriporta,No,C3
Bernardo del fu Nerio,nan,medio,No,C3
Bernardo di Giacomino,nan,kinzica,No,C3
Bernardo di Guelfo di Stefano,nan,kinzica,No,C3
Bernardo di Leone,nan,kinzica,No,C3
Bernardo di Puccio di Salvo da Spina,nan,,No,C3
Bertino di Ser Ansaldo,nan,kinzica,No,C3
Bertoldo da Vico,nan,medio,No,C3
Bettino di Lambertuccio,nan,medio,No,C3
Bettino di Nino di Marco,nan,foriporta,No,C3
Betto Cegna,nan,ponte,No,C3
Betto Griffi,Griffi,foriporta,No,C3
Betto Massensis,nan,medio,No,C3
Betto Papa,Papa,ponte,No,C3
Betto Sardo,Sardo,kinzica,No,C3
