nome,attestazioni_savi,quartiere,attestazioni_1372,attestazioni_1377,Nobile,anno,mesi,data inizio mandato,data fine mandato,famiglia
Albizzo de Lanfranchi,X 12 = 1372 //9 settembre 1372// 12 settembre 1372// 1 ottobre 1372// 5 ottobre 1372 // 25 ottobre 1372// 6 novembre 1372// 8 novembre 1372 // 13 novembre 1372// 15 novembre 1372// 19 novembre 1372 // 11 dicembre 1372   |||||||||||| X 25 =  1 luglio 1377  // 1 luglio 1377   //  3 luglio 1377 // 7 luglio 1377 // 9 luglio 1377 // 17 luglio 1377 //  18 luglio 1377 // 26 luglio 1377 //  27 luglio 1377 // 1 agosto 1377 //  6 agosto 1377 // 7 agosto 1377 // 10 agosto 1377 // 14 agosto 1377 // 16 agosto 1377 // 18 agosto 1377 // 25 agosto 1377 // 27 agosto 1377 // 15 settembre 1377 // 9 ottobre 1377 // 15 ottobre 1377 // 27 ottobre 1377 //  30 ottobre 1377 // 22 novembre 1377 // 26 novembre 1377 |||| TOTALE 37,ponte,12,12,Sì,,None,,,Lanfranchi
Piero Papa,X 1 = 1372 ,ponte,1,0,No,1386,Marzo-Aprile,1386-12-01,1386-01-01,Papa
Piero Papa,X 1 = 1372 ,ponte,1,0,No,1390,Marzo-Aprile,1390-12-01,1390-01-01,Papa
Filippo Sciarre,X 8 = 1372 // 9 settembre 1372  // 1 ottobre 1372 //  15 novembre 1372  //  31 novembre 1372  //  31 novembre 1372  //   15 dicembre 1372  //  19 dicembre 1372   ||| X13 =  7 luglio 1377 // 10 Luglio 1377 // 14 luglio 1377 // 17 luglio 1377 // 18 luglio 1377 // 27 luglio 1377 // 1 agosto 1377 // 6 agosto 1377 // 15 settembre 1377 // 9 ottobre 1377 // 15 ottobre 1377 // 27 ottobre 1377 // 22 novembre 1377  |||| TOTALE 20,ponte,8,8,Sì,,None,,,Sciarre
Cola Gatto,X 14 = 1372  //  1372  //  9 settembre 1372  //  12 settembre 1372  // 1 ottobre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 31 novembre 1372 // 11 dicembre 1372 // 19 dicembre 1372 ||||| X1 = 8 luglio 1377 (IN MEDIO)  |||| TOTALE   15,ponte,14,14,No,1369,Marzo-Aprile,1369-12-01,1369-01-01,Gatto
Cola Gatto,X 14 = 1372  //  1372  //  9 settembre 1372  //  12 settembre 1372  // 1 ottobre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 31 novembre 1372 // 11 dicembre 1372 // 19 dicembre 1372 ||||| X1 = 8 luglio 1377 (IN MEDIO)  |||| TOTALE   15,ponte,14,14,No,1373,Marzo-Aprile,1373-12-01,1373-01-01,Gatto
Lotto da Vico, X 1 = 1372 |||| X3=  1 agosto 1377 // 15 settembre 1377 // 7 ottobre 1377  |||| TOTALE 4,ponte,1,1,No,1371,Maggio-Giugno,1371-02-01,1371-03-01,Vico
Lotto da Vico, X 1 = 1372 |||| X3=  1 agosto 1377 // 15 settembre 1377 // 7 ottobre 1377  |||| TOTALE 4,ponte,1,1,No,1375,Marzo-Aprile,1375-12-01,1375-01-01,Vico
Lotto da Vico, X 1 = 1372 |||| X3=  1 agosto 1377 // 15 settembre 1377 // 7 ottobre 1377  |||| TOTALE 4,ponte,1,1,No,1378,Luglio-Agosto,1378-04-01,1378-05-01,Vico
Lotto da Vico, X 1 = 1372 |||| X3=  1 agosto 1377 // 15 settembre 1377 // 7 ottobre 1377  |||| TOTALE 4,ponte,1,1,No,1381,Novembre-Dicembre,1381-08-01,1381-09-01,Vico
