numero mandato,data inizio mandato,data fine mandato,nome,nota,altra nota,anno,mesi,note data,ruolo,quartiere
1,1369-10-01,1369-11-01,Petrus de Peccioli,de Peccioli,Iurisperitus,1369,Gennaio-Febbraio,,priore,ponte
2,1369-12-01,1370-01-01,Gerardus Lippi Astarii,Astarii,,1369-1370,Marzo-Aprile,"Ranieri Sardo cap. 151 (nell'edizione dell'1845 della cronaca c'è una virgola dopo Giovanni di Puccio, Pancaldo)",priore,ponte
3,1370-01-01,1370-03-01,Ser Colus Gactus,Gactus,,1370,Aprile-Maggio-Giugno,Due Priori per Quartiere,priore,ponte
4,1370-04-01,1370-05-01,Ser Iacobus quondam Ser Becti Pape,Papa,,1370,Luglio-Agosto,Due Priori per Quartiere /NOB. ET POT. MILES D. RAINERIUS UGOLINUCCII DE BASCHIO HONOR PISANORUM POTESTAS ,priore,ponte
5,1370-06-01,1370-07-01,Barthalomeus Soppos,Soppos (Zoppo?),,1370,Settembre-Ottobre,,priore,ponte
6,1370-08-01,1370-09-01,Benedictus Falconis,,,1370,Novembre-Dicembre,NOB. ET POT. MILES DOMINUS CAROLUS DE MONTANINIS DE SENIS HONOR. Pisanorum Potestas,priore,ponte
7,1370-10-01,1370-11-01,Nerius Papa,Papa,,1370,Gennaio-Febbraio,,priore,ponte
8,1370-12-01,1371-01-01,Andreas D. Ciani Scorcialupi,Scorcialupi,,1370-1371,Marzo-Aprile,SUPRASCRIPT. POT. HABUIT ETIAM HOC TEMPORE OFFICIUM CAP. P. P,priore,ponte
9,1371-02-01,1371-03-01,D. Loctus de Moricoctis de Vico leg. doct.,Moricoctis de Vico,Legum Doctor,1371,Maggio-Giugno,,priore,ponte
10,1371-04-01,1371-05-01,Oddo Soppus,Soppos (Zoppo?),,1371,Luglio-Agosto,,priore,ponte
11,1371-06-01,1371-07-01,Iacobus Guidonis Papa,Papa,,1371,Settembre-Ottobre,NOB. ET SAP. VIR D. MARCUS D. MACTHEI DE NARNIA LEG. DOCT.,priore,ponte
12,1371-08-01,1371-09-01,Henricus Boccius,Boccius,,1371,Novembre-Dicembre,NOB. ET EGR. MILES D. BALIGINUS DE BALIGANIS DE ESIO HONOR. P. P. ET MARCUS DE NARNIA SUPR. C. P. P.,priore,ponte
13,1371-10-01,1371-11-01,Ser Guido Macigna,Macigna,,1371,Gennaio-Febbraio,SUP. POT. ET MARCUS DE NARNIA LEG. DOCT. C. P. P,priore,ponte
14,1371-12-01,1372-01-01,Ser Ceus Ser Coli Del Verde,del Verde,,1371-1372,Marzo-Aprile,,priore,ponte
15,1372-02-01,1372-03-01,Ser Tomasus Salimbenis de Campilia,de Campilia,,1372,Maggio-Giugno,MAGNIF. ET POT. MILES D. PETRUS GAMBACURTA HONORAB. PIS. CIVIS. CAPITANEUS MASNADARUM PISANI COMUNIS ET POPULI PISANI. DEFENSOR ET CAP. P. P. SUPRASCRIPT,priore,ponte
16,1372-04-01,1372-05-01,Ser Colus Ser Andreocti Gallecti,,,1372,Luglio-Agosto,M. ET P. MILES D. PETRUS GAMBACURTA ET D. BALIGANUS SUPR. POT. NEC NON D. CAP. P. P. SUPR.,priore,ponte
17,1372-06-01,1372-07-01,Oppisus Falconis,,,1372,Settembre-Ottobre,,priore,ponte
18,1372-08-01,1372-09-01,Ser Cecchus Nacchi de Plumbino,de Plumbino,,1372,Novembre-Dicembre,M. ET POT. MILES D. PETRUS GAMBACURTA etc. M. ET P. VIR D. BARTHOLOMEUS DE FELICINIS DE ARMANNIS DE PERUSIO PIS. POT. ET SUPR. C. P. P.,priore,ponte
19,1372-10-01,1372-11-01,Iacobus olim Ser Guidonis Pape,Papa,,1372,Gennaio-Febbraio,SUPR. D. PETRUS GAMBACURTA etc. D. BARTHOLOMEUS etc. P. P. ET D. IACOBUS DE SENIS LEG. DOCT. C. P. P. ,priore,ponte
20,1372-12-01,1373-01-01,Pierus de Cascina q. Vannis,de Cascina,,1372-1373,Marzo-Aprile,,priore,ponte
21,1373-02-01,1373-03-01,Gerardus Lippi Astarii,Astarii,,1373,Maggio-Giugno,,priore,ponte
22,1373-04-01,1373-05-01,Iacobus Ser Becti Papa,Papa,,1373,Luglio-Agosto,,priore,ponte
23,1373-06-01,1373-07-01,Benvenutus Vannis,,,1373,Settembre-Ottobre,,priore,ponte
24,1373-08-01,1373-09-01,Nerius Cegne Del Guercio,del Guercio,,1373,Novembre-Dicembre,M. ET P. MIL. D. PETRUS GAMBACURTA etc. ET NOB. ET POT. MIL. D. BERNARDINUS DE CHANA P. P. ET D. C. P. P. SUPR. ET SUCCESSOR SUUS EGR. LEG. DOCT. D. VALLERIANUS DE CETONA C. P. P. ,priore,ponte
25,1373-10-01,1373-11-01,Barthaloctus Ser Iacobi de Moricoctis de Vico,Moricoctis de Vico,,1373,Gennaio-Febbraio,,priore,ponte
26,1373-12-01,1374-01-01,Ser Colus Gattus,Gactus,,1373-1374,Marzo-Aprile,,priore,ponte
27,1374-02-01,1374-03-01,Ser Colus Ser Benevenii de Scorno,de Scorno,,1374,Maggio-Giugno,,priore,ponte
28,1374-04-01,1374-05-01,Ser Iacobus Ser Guidonis Papa,Papa,,1374,Luglio-Agosto,,priore,ponte
29,1374-06-01,1374-07-01,Ser Bartholomeus Soppus,Soppos (Zoppo?),,1374,Settembre-Ottobre,,priore,ponte
30,1374-08-01,1374-09-01,Ser Andreas q. D. Ciani Scorcialupi,Scorcialupi,,1374,Novembre-Dicembre,M. ET P. MILES D. PETRUS DE GAMBACURTA etc. NOB. ET POT. VIR D. D. PAULUS ARGENTI COMES DE CAMPELLO DE SPOLETO P. P. ET D. VALLERANUS SUPR. C. P. P. PRO UNO ANNO FINITO DIE XXVI DECEMBRIS ET D. GUILLELMUS DE CASTILIONE ARETINO C. P. P. PRO UNO ANNO INCEPTO DIE SUPRASCRIPTO,priore,ponte
31,1374-10-01,1374-11-01,Benvenutus Vannis,,,1374,Gennaio-Febbraio,,priore,ponte
32,1374-12-01,1375-01-01,Guido Macigna,,Notarius,1374-1375,Marzo-Aprile,,priore,ponte
33,1375-02-01,1375-03-01,Nerius Del Guercio,del Guercio,,1375,Maggio-Giugno,,priore,ponte
34,1375-04-01,1375-05-01,Gerardus Astarius,Astarii,,1375,Luglio-Agosto,,priore,ponte
35,1375-06-01,1375-07-01,Bertaloctus Ser Iacobi de Moricoctis de Vico,Moricoctis de Vico,,1375,Settembre-Ottobre,,priore,ponte
36,1375-08-01,1375-09-01,Ciolus Bondiei,Bondiei,,1375,Novembre-Dicembre,M. ET P. MIL. D. PETRUS DE GAMBACURTA etc. ET NOB. ET POT. VIR D. IOANNES CORRADUCCII DE MONTE ROCCHO DE ESCULO MILES ET LEG. DOCT. P. P. ET SUPR. C. P. P. ,priore,ponte
37,1375-10-01,1375-11-01,Cecchus Nacchi de Plumbino,de Plumbino,,1375,Gennaio-Febbraio,M. ET P. MIL. D. PETRUS DE GAMBACURTIS etc. ET HONOR. VIR D. ARCANGELUS D. IACOBI DE INTERANNE C. P. P,priore,ponte
38,1375-12-01,1376-01-01,Loctus de Vico,de Vico,,1375-1376,Marzo-Aprile,,priore,ponte
39,1376-02-01,1376-03-01,Bonaccursus de Barba,de Barba,,1376,Maggio-Giugno,,priore,ponte
40,1376-04-01,1376-05-01,Oppithus Ser Barthalomei Falconis,,,1376,Luglio-Agosto,,priore,ponte
41,1376-06-01,1376-07-01,D. Nicholaus de Lanfreducciis,de Lanfreducciis,Legum Doctor,1376,Settembre-Ottobre,,priore,ponte
42,1376-08-01,1376-09-01,Oddo Soppos,Soppos (Zoppo?),,1376,Novembre-Dicembre,,priore,ponte
43,1376-10-01,1376-11-01,Bertaloctus Ser Iacobi de Vico,de Vico,,1376,Gennaio-Febbraio,M. ET P. MILES D. PETRUS DE GAMBACURTA etc. ET EGREG. LEG. DOCT. D. IOHANNES SIMONIS DE NARNIA C. P. P.,priore,ponte
44,1376-12-01,1377-01-01,Iacobus Papa olim Ser Guidonis,Papa,,1376-1377,Marzo-Aprile,,priore,ponte
